Site,Metrique,Periode,R2025,R2026,B2026
Amiens,Marge_brute,S1,799280.5199999991,599250.2499999998,1441061.7980300009
Amiens,EBITDA,S1,115733.5799999991,430098.9000000003,1031537.798030001
Amiens,EBIT,S1,-108665.1600000008,300015.6000000002,699140.0980300012
Amiens,Personnel,S1,-1918012.3,-975842.56,-666938.2019699999
Amiens,Energie,S1,-190701.67,-161996.41,-177000.0
Amiens,Maint_courante,S1,-151681.23,-223832.36,-131000.0
Amiens,Maint_oblig,S1,0.0,0.0,0.0
Amiens,Traitement_sp,S1,-3976.0,-4534.0,0.0
Amiens,Autres_couts,S1,-609931.6900000001,-350044.9599999999,-639000.0
Paris 15,CA,Q1,1470889.11,1616912.65,1728427.99
Paris 15,PNE,Q1,1433485.91,1571831.449999999,1689667.99
Paris 15,Marge_brute,Q1,-129948.18999999994,127776.26000000001,274413.81394561194
Paris 15,EBITDA,Q1,-310089.4100000003,-95651.90000000145,44409.81394561223
Paris 15,EBIT,Q1,-314844.4100000003,-101183.9000000014,39194.15065830342
Paris 15,Personnel,Q1,-851904.7500000003,-886770.9499999998,-854016.1823886882
Paris 15,Energie,Q1,-172525.44,-101379.26,-84050.0
Paris 15,Maint_courante,Q1,-56913.15000000002,-37169.8,-68793.87464509
Paris 15,Maint_oblig,Q1,-101319.57,-25315.35,-60000.0
Paris 15,Traitement_sp,Q1,,,
Paris 15,Autres_couts,Q1,-377671.19,-390104.88,-344194.1190206101
Paris 15,CA,Q2,1513405.41,669516.1499999999,1862103.7300000002
Paris 15,PNE,Q2,1472486.45,634637.9600000011,1836447.7300000002
Paris 15,Marge_brute,Q2,79685.86000000103,-62264.51000000024,205120.16968164314
Paris 15,EBITDA,Q2,-97297.19999999925,-283747.399999999,-24883.83031835809
Paris 15,EBIT,Q2,-102052.19999999925,-61426.259999999005,-30378.641395665894
Paris 15,Personnel,Q2,-858756.1999999996,-302039.64000000025,-903713.2702080428
Paris 15,Energie,Q2,-50478.03,-36658.63000000002,-55666.0
Paris 15,Maint_courante,Q2,-79870.24999999997,-83322.19,-48843.505563523286
Paris 15,Maint_oblig,Q2,-47910.919999999984,-16342.54,-92860.0
Paris 15,Traitement_sp,Q2,,,
Paris 15,Autres_couts,Q2,-352636.77999999997,-257941.90999999992,-502068.0245467917
Paris 15,CA,S1,2984294.52,2286428.8,3590531.72
Paris 15,PNE,S1,2905972.36,2206469.41,3526115.72
Paris 15,Marge_brute,S1,-50262.32999999914,65511.749999999534,479533.9836272551
Paris 15,EBITDA,S1,-407386.6099999996,-379399.3000000004,19525.98362725414
Paris 15,EBIT,S1,-416896.6099999996,-162610.1600000004,8815.509262637528
Paris 15,Personnel,S1,-1710660.95,-1188810.59,-1757729.452596731
Paris 15,Energie,S1,-223003.47,-138037.89,-139716.0
Paris 15,Maint_courante,S1,-136783.4,-120491.99,-117637.3802086133
Paris 15,Maint_oblig,S1,-149230.49,-41657.89,-152860.0
Paris 15,Traitement_sp,S1,-191.01,0.0,-10000.0
Paris 15,Autres_couts,S1,-730307.97,-648046.7899999999,-846262.1435674018
Le Havre,CA,Q1,2701113.97,2570256.339999999,2355792.61
Le Havre,PNE,Q1,2176969.8,2306837.4,2175784.9397
Le Havre,Marge_brute,Q1,654104.4699999993,733313.929999999,687580.054242043
Le Havre,EBITDA,Q1,407572.9399999994,583876.3200000003,519613.0542420439
Le Havre,EBIT,Q1,280135.9999999994,479099.0700000004,414870.6385971585
Le Havre,Personnel,Q1,-944242.0,-1110054.86,-965735.428247432
Le Havre,Energie,Q1,-164074.41,-107821.0,-103162.45
Le Havre,Maint_courante,Q1,-105141.43,-50594.78000000001,-100398.712052985
Le Havre,Maint_oblig,Q1,,,
Le Havre,Traitement_sp,Q1,-19069.54,-12610.52,-16788.3
Le Havre,Autres_couts,Q1,-264360.1200000001,-290047.21,-293864.68515754
Le Havre,CA,Q2,2519390.8399999994,2460425.570000001,2208555.57
Le Havre,PNE,Q2,2173095.5199999996,2308404.89,2033173.9047999997
Le Havre,Marge_brute,Q2,646640.54,680989.1400000008,534958.7824405758
Le Havre,EBITDA,Q2,405069.82000000036,553155.4399999997,366991.7824405761
Le Havre,EBIT,Q2,280433.9500000003,447450.96999999986,261321.76679569087
Le Havre,Personnel,Q2,-1051517.5,-1084990.26,-1021710.8951488989
Le Havre,Energie,Q2,-40278.42999999999,-53270.57000000001,-57197.220000000016
Le Havre,Maint_courante,Q2,-35715.22,-171257.06,-100398.712052985
Le Havre,Maint_oblig,Q2,,,
Le Havre,Traitement_sp,Q2,-17201.35,-19020.2,-16788.3
Le Havre,Autres_couts,Q2,-380700.1799999998,-300377.66,-293864.6851575399
Le Havre,CA,S1,5220504.81,5030681.91,4564348.18
Le Havre,PNE,S1,4350065.319999999,4615242.29,4208958.8445
Le Havre,Marge_brute,S1,1300745.0099999993,1414303.0699999998,1222538.8366826186
Le Havre,EBITDA,S1,812642.7599999998,1137031.76,886604.83668262
Le Havre,EBIT,S1,560569.9499999997,926550.0400000003,676192.4053928494
Le Havre,Personnel,S1,-1995759.5,-2195045.12,-1987446.323396331
Le Havre,Energie,S1,-204352.84,-161091.57,-160359.67
